RECORDKEY,STT_CONT,CALL_L_CLASS_NAME,CALL_M_CLASS_NAME,CALL_L_CLASS_CD,CALL_M_CLASS_CD,CALL_START_TIME,CALL_END_TIME
1.81E+17," 디큐 면세점 이은정입니다
아 네
안녕하세요
안녕하세요
아 네
면세점 혹시 영업시간이요
네
예
고객님 정확한 출국 당일만 이용 가능하시구요
네
오전 여섯 시반부터 오후 아홉 시 반까지 영업을 하고 있어요
이 터미널은 여섯시 오십분부터 시작을 하구요
아 혹시 그러면 여섯 아홉 시 삼십분이 가지고 다 받는 거예요
고객님 근데 저희 디큐 면세점 입점 브랜드가 거의 없거든요
주류 담배 건강식품 정관장만 있는데요
아 그래요
예
찾으시는 제품인 브랜드가 지금 말씀드린 브랜드에 포함이 되어 있으신가요
어
아니요
다시 한번 알아봐아네
예
다른 면세점 저 문의해 보셔야 될 것 같애요
고객님
감사합니다
예
감사합니다
즐거운 하루 되십시오
네 네
",상품,입점브랜드,2,209,2018-12-01 19:02,2018-12-01 19:03
1.81E+17," 디큐 면세점 한미선입니다
아예
네
디큐월드점에요
이용가가 입점돼 있나요
잠시만 기다려 주시겠습니까
네
고객님 기다려주셔서 감사드립니다
이용한 브랜드는 저희 오프라인 쪽에 입 점이 안 되어 있는 것으로 확인됩니다
아 그래요
아 오프라인에서는 안 되구요
네 네 네
현대카드 바우처를 좀 쓸라 그러는데 온라인에서는 안 되는 거죠
네
맞습니다
아가서 많이 사용이 가능하구요
네
아아네
알겠구나에는 없는 거네요
네
육 말씀하신 브랜드는 지금 확인해 보니깐 입점 안 되어 있으세요
음
아 전체다요
네
네
전체다요
네 네
아 네
알겠습니다
감사합니다
네 네
좋은 하루 보내세요
",상품,입점브랜드,2,209,2018-12-01 14:43,2018-12-01 14:44
1.81E+17," 디큐 면세점 심윤경입니다
그 혹시 거기에 나와 있습니다
다음번은 고객님 저희 쪽에 암입점이 안돼 있으세요
아 나와요
네 네 네
네 네
알겠다 본점에도 없고요
죄송합니다
좋은 하루 전 지점에 입점 안 되어 있으세요
예
공항에서구요
네네네네
네 네
감사합니다
좋은 하루 되십시오
",상품,입점브랜드,2,209,2018-12-01 14:45,2018-12-01 14:46
1.81E+17," 디큐 면세점 김미균입니다
아 그 다름이 아니라 저 그 디큐 베네피트 그 디큐 면세점에 그 인천공항점 통화하고 싶은데
네 네
죄송하지만 제가 팔월 일자로 화장품이다 철수가 돼서요
인천공항에는 네
아 그래요
디큐면세점 화장품은 지금 판매가 안 되고 있습니다
아 알겠습니다
네 네
그러면 저기 오프 온라인에서만 할 수 있어요
온라인으로 구매하시고 인도 받거나 아니면 저희가 서울 적어 주시라면 명동이나 월드점 뭐에 내방하셔서 구매하셔도 수령하는 방법밖에는 없으세요
네 네
변경은 네
아예
알겠습니다
아 감사합니다
다 보니까
는 없으아네
감사합니다
행복한 하루 되십시오
네 네
",상품,입점브랜드,2,209,2018-12-01 10:49,2018-12-01 10:49
1.81E+17," 디큐 면세점 한미선입니다
네
거기 루이비통 가격 좀 알아 볼려고 하는데 되나요
네
아 가격은 고객님 루이비통 쪽으로 문의를 주셔야 되시구요
저희가 대표 번호여서요
어디 지점 쪽으로 연결을 좀 해드릴까요
칠 잠깐만요
네
네
칠라 사실 신세계 면세점이요
죄송합니다
만 저희 디큐 면세점 상담센터이구요
고객님 저희 디큐 면세점에 루이비통은 명동점하고 월드 타워 점 쪽에만 입점이 되어 있는데요
아 그
네
혹시 뭐 다른 면세점 쪽 찾으시는 거라고 하시면은 그쪽으로 따로 문의를 주셔야 되시거든요
공항 면세점 면세점 맞죠
인천공항 쪽에는 저희 루이비통 따로 입점 안 되어 있습니다
고객님 디큐 면세점에서는요
아 인천공항이 따로 없어요
예
그래서 만약에 인천공항점 쪽에서 구매가 필요한 거라고 하시면 다른 면세점 쪽으로 한 번 더 확인해 주셔야 될 것 같으시거든요
어 그러면 인천공항에서는 뭐 구매하는 건가요
디큐 면세점에서 운영 안으로 이동 매장은 없구요
고객님 다른 면세점에서 매장을 운영하고 있는지는 다른 면세점 쪽으로 문의를 주셔야 되세요
네
아 네
감사합니다
네
감사합니다
좋은 하루 보내세요
",상품,입점브랜드,2,209,2018-12-01 14:47,2018-12-01 14:49
1.81E+17," 디큐 면세점 오현정입니다
아예
안녕하세요
네
고객님 무엇을 도와드릴까요
저는 저기 이거나요
고객님 다시 한번 말씀해 주시겠어요
유아 어쩔 수 안 좋아요
유월의 주요 고객님
네 네 네
네
음 유아부 종류는 거의 없구요
때 출산용품이라든지 유아용품 소규모만 현재 시작 형태로 판매하는 매장이 있기는 해요
아니면은 네
네
예
혹시 어느 지점으로 오실 예정이신가요
인도장되는 거죠
명동 본점이요
그 의류가 우리는 거의 없는 걸로 알고 있는데 그어 저희 기념품 코너 쪽에 아이 앤디라는 브랜드가 있거든요
네
네
네
그쪽에서 유아용품 몇 가지가 판매되기는 합니다
고객님 매장은 구층이구요
아 알겠습니다
네
더 궁금한 부분 없으신가요
예
압니다
고맙습니다
좋은 하루 되세요
안녕하세요
그러게요
",상품,입점브랜드,2,209,2018-12-01 14:48,2018-12-01 14:50
1.81E+17," 디큐 인터넷 면세점 김재선입니다
무엇을 도와드릴까요
네
문의 좀 드리겠습니다
네
고객님
그 제가 시월 이십칠일 시월 말경에 가방을 하나 구매했는데요
네
그 티 저기 가방에 이 에이에스를 받아야 되는 상황이 생겼어요
아 그러셨습니까
고객님
그러면 제가 어떻게 하면 되나요
제가 고객님 정보 확인하고 에이에스 관련해서 안내를 드리겠습니다
네
네
제품 구매하셨을 때 등록하셨던 여권 번호나 아이디 확인 부탁 드리겠습니다
*이*이* 에*치이
잠시만요
고객님
그 여권 번호는요
아이디이신 거세요
예 예
케이 아이엠
아니 제이 진리 제이 아이엔 에이치이 이 팔육삼사요
아제이 아이엔 에이치이이네
고객님 성함 확인 부탁 드리겠습니다
*진*이요
예
*진* 고객님 본인 맞으십니까
네 네
주문내역 확인 위해서 생년월일 확인 부탁 드리겠습니다
*십 *년 *월* 일입니다
네
소중한 정보 확인 감사드리구요
지금 보시면 시월 이십팔일 날 두시 조셉 앤 스테이시꺼가방 하나 인도 받으신 거 있으십니다
네
네
예 예
네
이 제품에 대해서 에이에스 요청하시는 거죠
고객님
네 네
예
제가 확인하고 안내 드리겠습니다
음 잠시만 기다려 주세요
네
네
네
고객님 기다려주셔 감사드리구요
이 제품 지금 온라인 매장이 없는 온라인 전용 상품으로 확인이 되시네요
네
음 그래서 제가 제품이 들어가서 확인해 보니까
그 에이에스 전화번호가 있기는 한데요
네
이게 상담 가능 시간이 평일날 오전 열시에서 열한 시 반 오후 한시에서 다섯시까지 되어 있으세요
네 네
예
그래서 다음 주에 월요일쯤에 이쪽으로 전화 주셔야 되실 것 같으세요
제가 전화번호 안내드려도 괜찮으실까요
네 네
예 예 예 예
예
메모 가능하신 거세요
공일공 팔육사 삼삼 오일 팔 번입니다
네 네 네
삼월 오일구 팔 팔육사 삼일 삼구일팔
예
호네
맞으세요
제가 혹시 모르니까
문자로 다시 다시 하나 전송을 해드리겠습니다
그러면 제가 이거를 구매한 지가 얼마 안 됐는데 그 에이에스는 어떻게 무상으로 가능한가요
네
네 네
아니면 그쪽이랑 통화를 해야 되나요
예
정확한 거는 이제 그쪽에 전화 통화하셔서 무상 여부가가 그런데 지금 구매 오 육 개월이 내가 무상이라고 되어 있으세요
네 네
여기 지금 기본적인 건 나와 있는 거 에는 예
예 예
그러시면 고객님이 지금 인도 받으신 게 얼마 안 되셨잖아요
네 네
예
그래서 이제 정확한 거는 저희 쪽에 주문내역이 확인되시기 때문에 그쪽에서 안내를 받으셔야 되실 것 같으신데요
네
고맙습니다
네
감사합니다
제가 따로 문자 전송하겠습니다
예
네
감사합니다
행복한 하루 되십시오
예
네
",상품,상품A/S,2,211,2018-12-01 10:50,2018-12-01 10:54
1.81E+17," 디큐 면세점 오현정입니다
아 네
제가 지금 로즈 몽 시계 불 저기 취소를 좀 할려고 하는데 에이에스 맡기려는데 매장이 어디쯤 되나요
네
고객님
네 네
저희 디큐 면세점 어느 지점 이용하려고 하시는 건가요
저희가 대표 번호거든요
뭐가 잠실 쪽에 있어요
고객님 아 잠실 저희 디큐 면세점에서 구매된 게 신 거죠
네 네 네
예 예
면세점 층이 팔 층구층이구요
로즈 몽 시계는 구층에 있습니다
네
고객님
아 그 디큐월드 타워 디큐타워 그 면세점 쪽에 있는 거 맞죠
네 네
월드타워 몰아내 그 애 비닐 동의라고 네네
네
명품 브랜드를 주로 모여 있는 쪽 있어요
고객님
네네네네
네
그쪽 건물 위로 올라오시면 돼요
아 네
알겠습니다
네
더 필요한 부분 없으신가요
예
맞습니다
감사합니다
좋은 하루 되세요
네
네
",상품,상품A/S,2,211,2018-12-01 14:44,2018-12-01 14:45
1.81E+17," 디큐 면세점 최고은입니다
네
여보세요
네
안녕하세요
그죠
저 뭐 좀 물어보라는데요
네 네
제가 그 디큐 면세점에서 그때 무슨 사은품을 도난 번호 넣었는데 그 보시는 공항 철도에서 리무진 버스 이용할 수 있는 거 그거를 줬거든요
네
네 네 네
그 본점에서는 거기에 날짜는 안 써있더라고요
날짜 제한이 없는 거예요
혹시 고객님 그 받으신 게 명동 본점에서 언제쯤 받으신 쿠폰이세요
한 이 년 된 것 같애요
이 년 정도 되셨구요
네 네
그러시면 잠시만 기다려 주세요
언제까지 뭐 이렇게 언제까지라고 유효기간은 없었던 것 같애요
네
적혀 있지는 않으셨구요
네
근데 제가 동편사니까
서울 뭐 공항 철도까지 가기는 공 공항 터미널 면세점 공항 거를 좀더 코엑스점 거 그 근처에서 타는 거더라고 보니까
네
네 네
근데 내가 여기 동편 사는 사람 거까지가 거기는 몰아서 한번도 안 좋거든 이년 전에 받은 것 같은데 제가 누구를 줬는데 보니까
네 네
뒤에 보니까
유효기간이 뭐 예를 들어 뭐 이천 십구년 십이월 삼십일일 썰스 뭐 올해 십이월 삼십일일까지 써야 되는데 보면서 여덟시고 유효기간이 짧게 없어갔고 내가 누구 주는데 그게 유효기간 있는 거는 또 뭐 뭐 지난 거 2년 지나서 뭐 써놨던 숫자 것 같애서 마음이 조마조마
네 네
네
어 네네
그러시면 제가 확인을 도와드릴 텐데요
잠시만 기다려 주세요
네
네
고객님 기다려주셔서 감사합니다
죄송하지만 행사가 진행 살아서 제가 확인하는 데 시간이 몇분 정도 소요가 될 것 같애요
혹시 확인 후에 다시 한번 연락 드려도 괜찮으실까요
아 그러면 그 핸드폰으로 좀 주실래요
네
혹시 번호가 어떻게 되십니까
공일공이 팔이 하나 삼칠구요
네
이 팔이 하나 삼칠구 번이구요
혹시 고객님 구매 당시 여권 번호 확인 가능하세요
여권번호요
네 네 네
아 여권 번호
이 증정 받으셨을 당시 여권 번호가 확인되신다면 좋고 확인하기가 소요될 것 같습니다
네
그래요
그럼 잠깐만요
네
여권번호 여권을 들어가야 되는데요
네 네
음 음 잠깐만요
네
여보세요
네 네 네
팔 삼팔구 공칠 육칠네 네
아 네 네
확인 감사합니다
저희 부부 확인 후에 다시 한번 연락 드리도록 하겠다
전화번호 핸드폰 번호 좀 가르쳐 주세요
네 네
고객님도 지나서 못 쓰는 거잖아요
음네네네
싶어서 네
확인 후에 다시 한번 연락 드릴게요
고객님 유효기간이 짧게 없더라고 나가실 때 그래서 이거 언제까지 써야 되는 거는 없는데요
네
이 그렇구 네
음네네네
그러시면 확인 다시 한번 연락 드리겠습니다
팔 사네
",행사/제휴,"증정문의(사은품, 선불카드, 쿠폰 등)",3,301,2018-12-01 18:39,2018-12-01 18:43
1.81E+17," 디큐 면세점 최고은입니다
아 네
여쭤볼 게 있는데요
네
무엇을 도와드릴까요
아 네
그 제가 예비 웨딩 고객 그 쿠폰을 받은 게 있어요
네
그 백불 이상할 때 그 만원 선불카드는 바꿔드릴게요
네
네
근데 이 쿠폰이 뭐 백불 이상만 하면은 만원을 받는 건지 한번 받을 수 있는 건가요
네 네
해당 일사일 경우에는 네
돌아갔
한번만 참여가 가능하시구요
네요
당일 구매한 영수증에 그 증정 대상 브랜드에서 십달러 이상 구매하신 영수증이 있으시면 가능하세요
아 그 만약에 그냥 삼백 불을 사면 만원 받는 거는 똑같은 거에요
아 네
이거 또 받으실 수 있구요
그리고 저희 정관 행사로 해서 삼백 달러 이상 구매하시면 증정 드리는 선불카드가 있거든요
이 부분에서 함께 참여는 가능하세요
아아아 그러면 아까까지 십불이상 사는 거는 제가 뭐 삼사 천삼백 불을 사도 그가 와서 삼만 원을 받고 그럼 쿠폰하고 다른 거예요
네
그니까
아 네 네
십분이나 무조건 만원밖에 못 받나는 그런 쿠폰인가요
만약에 고객님께서 백달러 이상 구매하시고 이 쿠폰을 제시를 하시면 일만 원을 받게 되시는 건 똑같으세요
아 똑같은 거에 딱 한 카드가 만원을 돌려받는다는 거에요
네 네
네
맞습니다
아 네 네
아이디 좀 헷갈려 가지고요
아 네 네
네
감사합니다
감사합니다
좋은 하루 되십시오
네
",행사/제휴,"증정문의(사은품, 선불카드, 쿠폰 등)",3,301,2018-12-01 18:45,2018-12-01 18:47
